	title	link	source	salary
58	QA инженер (FinTech)	https://hh.ru/vacancy/50951509?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': 150000, 'max': None, 'currency': 'руб.'}
59	Mobile QA Engineer (AdTech)	https://hh.ru/vacancy/48867449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
60	QA Manual	https://hh.ru/vacancy/48042991?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
61	QA Team Lead	https://hh.ru/vacancy/51003001?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
62	Manual QA Engineer	https://hh.ru/vacancy/50418535?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
63	QA Engineer	https://hh.ru/vacancy/50995021?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
64	QA Automation Engineer	https://hh.ru/vacancy/49818449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
65	QA Engineer	https://hh.ru/vacancy/50845474?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
66	QA Engineer	https://hh.ru/vacancy/50639850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
67	Middle QA Engineer	https://hh.ru/vacancy/51032978?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
68	Manual QA Tester / Тэсціроўшчык	https://hh.ru/vacancy/50656670?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
69	QA Engineer (Mobile)	https://hh.ru/vacancy/50865655?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
70	QA manual engineer	https://hh.ru/vacancy/50898106?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
71	Web QA Engineer (B2B)	https://hh.ru/vacancy/51202425?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
72	Manual QA Engineer Remote (Middle)	https://hh.ru/vacancy/50858136?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
73	Middle QA Engineer (Mobile Games)	https://hh.ru/vacancy/51219796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
74	QA Engineer	https://hh.ru/vacancy/50011363?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=QA	https://hh.ru	{'min': None, 'max': None, 'currency': None}
